,Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,K+A,K+A Per Minute,KP%,CS,CSM,Golds,GPM,GOLD%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,DMG/GOLD,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,WPM,VWPM,WCPM,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
31,Viego,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.1,2022-06-10,2,SofM,JUNGLE,1,3,1,0.7,2,0.06,0.667,209,6.5,9819,305,0.196,8254.87,7003.04,495.76,756.07,257,0.12,0.8407037376514921,37408.0,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
32,Zoe,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.1,2022-06-10,2,Angel,MID,0,1,1,1,1,0.03,0.33299999999999996,238,7.4,9736,303,0.19399999999999998,14636.51,770.45,10898.1,2967.96,455,0.212,1.5033391536565326,9378.97,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
33,Seraphine,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.1,2022-06-10,2,huanfeng,ADC,0,1,2,2,2,0.06,0.667,256,8.0,10707,333,0.213,8944.44,604.88,7896.56,443.0,278,0.13,0.8353824600728496,11678.7,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
34,Senna,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.1,2022-06-10,2,ON,SUPPORT,1,6,2,0.5,3,0.09,1.0,64,2.0,8656,269,0.17300000000000001,17496.88,17286.1,0.0,210.78,544,0.254,2.0213585951940853,23259.4,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
35,Riven,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.1,2022-06-10,2,Zika,TOP,8,1,5,13,13,0.4,0.684,300,9.3,15863,493,0.23399999999999999,16987.7,16935.7,0.0,52.0,528,0.203,1.0709008384290488,25931.5,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
36,Wukong,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.1,2022-06-10,2,XUN,JUNGLE,4,0,10,Perfect KDA,14,0.44,0.737,194,6.0,12603,392,0.18600000000000003,14411.96,11046.1,2909.86,456.0,448,0.172,1.143534079187495,25451.2,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
37,Taliyah,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.1,2022-06-10,2,Yuekai,MID,2,1,10,12,12,0.37,0.632,280,8.7,14553,453,0.215,16632.4,392.62,15698.3,541.48,517,0.19899999999999998,1.1428846285989145,13687.3,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
38,Ezreal,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.1,2022-06-10,2,Wink,ADC,4,1,7,11,11,0.34,0.579,313,9.7,15992,497,0.23600000000000002,27127.42,14446.4,11222.6,1458.42,844,0.324,1.6963119059529763,12679.0,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
39,Tahm Kench,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.1,2022-06-10,2,XinLiu,SUPPORT,1,0,13,Perfect KDA,14,0.44,0.737,46,1.4,8704,271,0.129,8551.69,778.95,6530.74,1242.0,266,0.102,0.9825011488970589,17770.8,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
40,Fiora,EDG vs FPX,Funplus Phoenix,1 - 2,Edward Gaming,WEEK1,12.1,2022-06-10,3,Xiaolaohu,TOP,1,3,1,0.7,2,0.05,0.25,355,9.1,15401,395,0.23199999999999998,15238.67,7715.45,744.81,6778.41,391,0.133,0.9894597753392637,37132.8,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
41,Wukong,EDG vs FPX,Funplus Phoenix,1 - 2,Edward Gaming,WEEK1,12.1,2022-06-10,3,Clid,JUNGLE,5,4,1,1.5,6,0.15,0.75,191,4.9,12139,311,0.183,16424.27,14140.1,1474.67,809.5,421,0.14300000000000002,1.3530167229590577,37825.9,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
42,LeBlanc,EDG vs FPX,Funplus Phoenix,1 - 2,Edward Gaming,WEEK1,12.1,2022-06-10,3,Care,MID,1,3,4,1.7,5,0.13,0.625,303,7.8,13227,339,0.19899999999999998,24580.62,1374.02,23206.6,0.0,630,0.214,1.8583669766386934,26593.4,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
43,Ezreal,EDG vs FPX,Funplus Phoenix,1 - 2,Edward Gaming,WEEK1,12.1,2022-06-10,3,Lwx,ADC,0,4,3,0.8,3,0.08,0.375,361,9.3,16641,427,0.251,40875.72,20873.1,17682.2,2320.42,1048,0.35600000000000004,2.456325941950604,24406.6,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0,0,0,,,,,,,,,
44,Yuumi,EDG vs FPX,Funplus Phoenix,1 - 2,Edward Gaming,WEEK1,12.1,2022-06-10,3,Hang,SUPPORT,1,4,6,1.8,7,0.18,0.875,21,0.5,9000,231,0.136,17615.21,1549.32,15270.1,795.79,452,0.154,1.9572455555555555,12558.7,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0,0,0,,,,,,,,,
45,Vladimir,EDG vs FPX,Funplus Phoenix,1 - 2,Edward Gaming,WEEK1,12.1,2022-06-10,3,Flandre,TOP,5,1,9,14,14,0.36,0.778,375,9.6,18365,471,0.247,28312.44,1439.64,25790.8,1082.0,726,0.273,1.54165205554043,36837.0,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
46,Vi,EDG vs FPX,Funplus Phoenix,1 - 2,Edward Gaming,WEEK1,12.1,2022-06-10,3,Jiejie,JUNGLE,2,6,12,2.3,14,0.36,0.778,211,5.4,13541,347,0.182,9152.68,8676.18,0.0,476.5,235,0.08800000000000001,0.6759234916180489,37064.2,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
47,Ahri,EDG vs FPX,Funplus Phoenix,1 - 2,Edward Gaming,WEEK1,12.1,2022-06-10,3,Scout,MID,4,0,12,Perfect KDA,16,0.41,0.889,375,9.6,17164,440,0.231,26160.04,2094.64,17144.2,6921.2,671,0.253,1.5241225821486832,20941.8,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
48,Tahm Kench,EDG vs FPX,Funplus Phoenix,1 - 2,Edward Gaming,WEEK1,12.1,2022-06-10,3,meiko,ADC,1,1,12,13,13,0.33,0.722,211,5.4,11639,298,0.157,8521.54,1108.26,6247.28,1166.0,219,0.08199999999999999,0.7321539651172781,42379.6,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
49,Senna,EDG vs FPX,Funplus Phoenix,1 - 2,Edward Gaming,WEEK1,12.1,2022-06-10,3,Viper,SUPPORT,6,0,12,Perfect KDA,18,0.46,1.0,74,1.9,13640,350,0.183,31405.63,29888.5,327.13,1190.0,805,0.303,2.302465542521994,19166.1,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
50,Gnar,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.1,2022-06-10,3,Zika,TOP,0,5,3,0.6,3,0.1,0.6,225,7.8,9486,331,0.21,9204.71,8276.72,927.99,0.0,321,0.19899999999999998,0.970346826902804,26178.6,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
51,Wukong,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.1,2022-06-10,3,XUN,JUNGLE,1,4,2,0.8,3,0.1,0.6,157,5.5,8348,291,0.185,9926.71,7026.2,2066.01,834.5,346,0.214,1.189112362242453,26448.3,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
52,Swain,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.1,2022-06-10,3,Yuekai,MID,1,6,4,0.8,5,0.17,1.0,241,8.4,10374,361,0.22899999999999998,13685.94,626.84,12907.1,152.0,477,0.29600000000000004,1.319253903990746,24424.5,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
53,Draven,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.1,2022-06-10,3,Wink,ADC,2,4,3,1.3,5,0.17,1.0,234,8.2,10951,382,0.242,10095.39,9465.27,630.12,0.0,352,0.218,0.9218692356862387,13384.9,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
54,Nautilus,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.1,2022-06-10,3,XinLiu,SUPPORT,1,5,4,1,5,0.17,1.0,34,1.2,6087,212,0.135,3399.87,534.32,2009.55,856.0,118,0.073,0.5585460818137014,11048.7,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
55,Kayle,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.1,2022-06-10,3,TheShy,TOP,6,1,11,17,17,0.59,0.708,282,9.8,14364,500,0.237,27676.2,11850.2,12857.5,2968.5,964,0.34299999999999997,1.9267752715121136,16350.3,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
56,Viego,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.1,2022-06-10,3,SofM,JUNGLE,1,1,10,11,11,0.38,0.45799999999999996,184,6.4,10744,374,0.177,7872.93,6360.32,832.11,680.5,274,0.098,0.7327745718540581,25495.8,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
57,Ahri,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.1,2022-06-10,3,Angel,MID,9,0,10,Perfect KDA,19,0.66,0.792,252,8.8,13600,474,0.225,23351.11,1635.71,16263.0,5452.4,814,0.29,1.7169933823529413,13652.5,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
58,Kalista,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.1,2022-06-10,3,huanfeng,ADC,6,0,8,Perfect KDA,14,0.49,0.583,277,9.7,13799,481,0.228,15470.44,12370.8,2769.64,330.0,539,0.192,1.1211276179433292,9024.51,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
59,Alistar,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.1,2022-06-10,3,ON,SUPPORT,2,3,15,5.7,17,0.59,0.708,33,1.1,8046,280,0.133,6214.18,593.26,4896.92,724.0,217,0.077,0.7723315933383048,16824.4,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
60,Kayle,AL vs Rare Atom,Anyone s Legend,2 - 0,Rare Atom,WEEK1,12.1,2022-06-11,1,Zdz,TOP,4,0,5,Perfect KDA,9,0.3,0.6,283,9.6,14249,483,0.255,17857.49,4082.71,12490.4,1284.38,605,0.302,1.2532451400098255,13830.1,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
61,Lee Sin,AL vs Rare Atom,Anyone s Legend,2 - 0,Rare Atom,WEEK1,12.1,2022-06-11,1,Xiaohao,JUNGLE,1,3,9,3.3,10,0.34,0.667,161,5.5,9932,336,0.177,4536.34,3401.78,923.06,211.5,154,0.077,0.4567398308497785,24306.9,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
62,Swain,AL vs Rare Atom,Anyone s Legend,2 - 0,Rare Atom,WEEK1,12.1,2022-06-11,1,Forge,MID,2,2,9,5.5,11,0.37,0.733,227,7.7,10907,370,0.195,14346.87,844.17,13502.7,0.0,486,0.242,1.3153818648574311,18513.7,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
63,Lucian,AL vs Rare Atom,Anyone s Legend,2 - 0,Rare Atom,WEEK1,12.1,2022-06-11,1,Betty,ADC,7,2,2,4.5,9,0.3,0.6,255,8.6,12896,437,0.23,16077.53,10231.6,5624.56,221.37,545,0.272,1.2467067307692308,11717.1,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0,0,0,,,,,,,,,
64,Nami,AL vs Rare Atom,Anyone s Legend,2 - 0,Rare Atom,WEEK1,12.1,2022-06-11,1,Qiuqiu,SUPPORT,1,2,11,6,12,0.41,0.8,8,0.3,7979,270,0.14300000000000002,6367.89,866.55,4529.54,971.8,216,0.10800000000000001,0.7980812131846097,8934.89,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0,0,0,,,,,,,,,
65,Gwen,AL vs Rare Atom,Anyone s Legend,2 - 0,Rare Atom,WEEK1,12.1,2022-06-11,1,Cube,TOP,1,1,3,4,4,0.14,0.444,306,10.4,12119,411,0.239,11235.71,1723.06,7493.41,2019.24,381,0.22,0.9271152735374205,17352.2,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
66,Nocturne,AL vs Rare Atom,Anyone s Legend,2 - 0,Rare Atom,WEEK1,12.1,2022-06-11,1,Leyan,JUNGLE,3,4,3,1.5,6,0.2,0.667,185,6.3,9931,336,0.196,8549.83,7722.78,517.05,310.0,290,0.16699999999999998,0.8609233712617058,25696.1,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
67,Ahri,AL vs Rare Atom,Anyone s Legend,2 - 0,Rare Atom,WEEK1,12.1,2022-06-11,1,Strive,MID,2,2,5,3.5,7,0.24,0.778,277,9.4,11278,382,0.222,11765.64,956.38,7681.24,3128.02,399,0.23,1.0432381627948217,11215.1,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
68,Tahm Kench,AL vs Rare Atom,Anyone s Legend,2 - 0,Rare Atom,WEEK1,12.1,2022-06-11,1,yuyanjia,ADC,3,4,4,1.8,7,0.24,0.778,172,5.8,9397,318,0.185,6507.53,745.91,5761.62,0.0,220,0.127,0.6925114398212195,19326.2,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
69,Senna,AL vs Rare Atom,Anyone s Legend,2 - 0,Rare Atom,WEEK1,12.1,2022-06-11,1,iBOY,SUPPORT,0,4,7,1.8,7,0.24,0.778,55,1.9,7973,270,0.157,13096.02,12665.4,0.0,430.62,444,0.256,1.6425460930640914,12017.5,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
